WarriorWarrior,Aventura,52870,92
LegendsDragon,Deportes,28406,58
QuestQuest,Deportes,16561,14
WarriorLegends,Deportes,65393,87
LegendsEmpire,Deportes,53643,97
WarriorDragon,Estrategia,38134,78
GalaxyWarrior,Estrategia,53917,63
DragonGalaxy,Deportes,30550,79
GalaxyLegends,Estrategia,10079,11
LegendsEmpire,Deportes,7172,22
EmpireQuest,Acción,45931,38
GalaxyWarrior,Acción,25727,14
QuestWarrior,Deportes,56303,86
QuestQuest,Aventura,52273,33
LegendsEmpire,Simulación,23695,9
QuestEmpire,Simulación,49392,81
LegendsQuest,Acción,17918,89
LegendsGalaxy,Aventura,28054,2
LegendsEmpire,Aventura,45167,67
QuestEmpire,Deportes,5647,18
QuestDragon,Deportes,49701,9
WarriorDragon,Estrategia,54107,56
LegendsWarrior,Simulación,49393,68
WarriorWarrior,Deportes,65206,87
QuestLegends,Acción,1564,60
WarriorQuest,Aventura,31489,99
EmpireDragon,Simulación,56435,44
WarriorLegends,Deportes,60260,1
QuestEmpire,Acción,6686,20
DragonGalaxy,Acción,67139,1
QuestGalaxy,Aventura,47022,47
DragonWarrior,Deportes,6734,84
DragonGalaxy,Acción,12869,23
EmpireGalaxy,Simulación,23244,32
EmpireLegends,Estrategia,9445,21
DragonGalaxy,Acción,30286,48
WarriorQuest,Simulación,24258,99
QuestGalaxy,Deportes,53138,15
DragonQuest,Deportes,26863,55
DragonQuest,Simulación,5647,15
EmpireGalaxy,Deportes,51857,44
WarriorEmpire,Acción,26539,52
GalaxyWarrior,Deportes,21053,98
EmpireGalaxy,Aventura,59633,7
EmpireGalaxy,RPG,57808,26
QuestLegends,Deportes,27412,33
QuestQuest,Acción,59849,61
LegendsLegends,Simulación,53024,10
WarriorWarrior,Estrategia,28116,11
QuestLegends,Aventura,8187,87
LegendsWarrior,Estrategia,43813,59
QuestGalaxy,Acción,53514,24
WarriorDragon,RPG,18033,43
DragonWarrior,Aventura,10128,89
WarriorLegends,Deportes,27223,81
QuestQuest,Estrategia,5243,96
LegendsWarrior,Acción,34881,85
QuestGalaxy,RPG,41534,53
QuestDragon,Deportes,25223,2
WarriorGalaxy,RPG,17541,6
WarriorDragon,Simulación,15189,10
LegendsGalaxy,Simulación,66203,64
QuestWarrior,Aventura,54485,49
LegendsWarrior,RPG,53427,86
LegendsLegends,Deportes,65301,73
QuestDragon,Acción,48970,17
WarriorLegends,Estrategia,37444,76
GalaxyWarrior,Aventura,63966,79
GalaxyLegends,Deportes,68708,51
EmpireGalaxy,Simulación,41348,68
QuestQuest,Deportes,63134,98
QuestDragon,Simulación,780,81
WarriorLegends,Acción,24478,95
QuestLegends,Aventura,25096,64
LegendsQuest,RPG,54646,1
QuestQuest,Deportes,46326,9
LegendsEmpire,Deportes,7722,88
EmpireQuest,Acción,16247,29
QuestDragon,Estrategia,25353,11
QuestDragon,RPG,49914,98
WarriorQuest,Simulación,54619,86
GalaxyEmpire,Deportes,7473,80
DragonWarrior,Simulación,62728,47
WarriorQuest,Deportes,50251,37
DragonGalaxy,Estrategia,391,41
DragonGalaxy,Estrategia,34930,19
DragonWarrior,Deportes,5612,36
LegendsGalaxy,Acción,39984,24
QuestGalaxy,Deportes,1716,48
QuestLegends,Acción,9945,87
DragonEmpire,Acción,39851,62
LegendsQuest,RPG,2328,6
EmpireWarrior,Acción,41010,23
EmpireLegends,Estrategia,65002,90
GalaxyDragon,Deportes,34036,79
GalaxyWarrior,Aventura,50168,7
LegendsDragon,Simulación,45274,66
WarriorDragon,Estrategia,11492,41
QuestQuest,Aventura,5942,33
EmpireEmpire,RPG,56642,86
QuestGalaxy,Acción,47058,73
DragonDragon,RPG,52664,12
LegendsDragon,RPG,31680,43
LegendsEmpire,Aventura,45282,79
DragonWarrior,Acción,58516,74
QuestGalaxy,Simulación,19328,9
EmpireGalaxy,Aventura,40357,99
GalaxyDragon,Deportes,35276,57
WarriorQuest,Deportes,36814,35
GalaxyGalaxy,Deportes,19625,59
